pair	env	cond	alpha_p1	alpha_p2
8	2	1	0.88	1.04
8	3	0	1.03	0.96
8	3	1	1.06	0.98
8	4	0	0.95	0.95
8	4	1	0.81	1.04
8	5	0	0.85	0.99
8	5	1	0.92	1
8	6	0	0.98	0.91
8	6	1	0.94	1.04
8	7	0	0.93	0.93
8	7	1	0.96	0.97
9	1	0	0.96	1.03
9	1	1	0.87	0.94
9	2	0	0.81	1.02
9	2	1	0.91	1.02
9	3	0	0.94	1.07
9	3	1	0.79	1.02
9	4	0	0.93	1.04
9	4	1	0.88	1.09
9	5	0	1.04	1.13
9	5	1	0.86	1.05
9	6	0	1.03	1.08
9	6	1	0.9	1.14
9	7	0	0.93	1.03
9	7	1	0.86	0.99
10	1	0	1.03	1.1
10	1	1	0.86	0.92
10	2	0	0.85	0.98
10	2	1	0.74	0.93
10	3	0	0.93	0.93
10	3	1	1.14	1.05
10	4	0	1	1.08
10	4	1	1.12	1.07
10	5	0	0.86	1.09
10	5	1	1.03	1.09
10	6	0	0.97	1.08
10	6	1	1.04	1.03
10	7	0	0.97	1.11
10	7	1	0.9	1.08
11	1	0	1.03	0.99
11	1	1	0.98	0.92
11	2	0	1.01	0.94
11	2	1	0.9	0.77
11	3	0	0.95	0.94
11	3	1	1.1	1.01
11	4	0	0.9	0.87
11	4	1	1.03	0.94
11	5	0	0.98	0.95
11	5	1	0.86	1.02
11	6	0	1.04	0.93
11	6	1	1.09	0.99
11	7	0	0.93	0.86
11	7	1	1.09	1.03
12	1	0	0.91	0.95
12	1	1	0.91	0.97
12	2	0	0.98	0.9
12	2	1	0.94	0.89
12	3	0	1.05	0.95
12	3	1	0.93	0.93
12	4	0	0.88	0.83
12	4	1	0.91	0.87
12	5	0	1.01	0.85
12	5	1	0.86	0.98
12	6	0	1	0.81
12	6	1	0.99	0.99
12	7	0	0.98	0.95
12	7	1	0.98	1.05
13	1	0	1.04	1.03
13	1	1	0.86	0.9
13	2	0	1.02	1.01
13	2	1	0.96	1
13	3	0	1	1
13	3	1	0.98	0.93
13	4	0	0.98	0.98
13	4	1	1	0.9
13	5	0	1.03	0.96
13	5	1	0.97	0.92
13	6	0	1.02	0.98
13	6	1	1.01	1.03
13	7	0	1	1.01
13	7	1	1.04	0.93
14	1	0	0.92	0.96
14	1	1	0.96	0.99
14	2	0	0.78	1
14	2	1	1.01	1.05
14	3	0	0.93	0.97
14	3	1	0.93	1.12
14	4	0	0.83	1.07
14	4	1	0.9	0.96
14	5	0	0.87	1.05
14	5	1	0.96	1
14	6	0	0.83	1.08
14	6	1	1.03	1.13
14	7	0	0.89	1.07
14	7	1	0.95	1.03
15	1	0	0.96	0.94
15	1	1	1	0.93
15	2	0	0.96	0.92
15	2	1	1.14	0.91
15	3	0	1.02	0.9
15	3	1	1.05	1.01
15	4	0	0.97	1.02
15	4	1	1.17	0.9
15	5	0	0.84	0.91
15	5	1	1.09	0.96
15	6	0	0.93	1.04
15	6	1	1.07	1.02
15	7	0	1.01	0.99
15	7	1	1.14	1.05
16	1	0	0.98	0.89
16	1	1	0.95	0.93
16	2	0	1.05	0.87
16	2	1	0.94	0.89
16	3	0	1.06	0.9
16	3	1	0.95	0.9
16	4	0	1.02	1.05
16	4	1	0.93	0.95
16	5	0	0.98	1.02
16	5	1	0.92	0.98
16	6	0	1.1	1.05
16	6	1	0.86	1.06
16	7	0	0.95	0.97
16	7	1	0.98	0.99
17	1	0	0.92	1.05
17	1	1	0.77	0.83
17	2	0	0.94	0.95
17	2	1	0.87	0.78
17	3	0	0.88	0.96
17	3	1	0.95	0.85
17	4	0	0.95	1
17	4	1	0.9	0.93
17	5	0	0.93	0.88
17	5	1	0.92	0.82
17	6	0	1.08	1.05
17	6	1	0.86	0.97
17	7	0	0.86	0.91
17	7	1	0.85	0.86
18	1	0	0.91	0.93
18	1	1	1	1.01
18	2	0	1.03	0.92
18	2	1	0.89	0.9
18	3	0	0.98	0.98
18	3	1	0.95	0.9
18	4	0	0.98	1.03
18	4	1	0.95	0.96
18	5	0	0.93	1.04
18	5	1	1	1.05
18	6	0	0.92	1.04
18	6	1	0.88	1.05
18	7	0	1.03	1.07
18	7	1	1	1
19	1	0	1.09	0.97
19	1	1	1.02	0.81
19	2	0	1.03	0.92
19	2	1	0.93	0.94
19	3	0	1.09	1
19	3	1	0.84	0.73
19	4	0	1.02	1.03
19	4	1	0.98	0.81
19	5	0	0.99	0.97
19	5	1	1.01	1.02
19	6	0	0.92	0.94
19	6	1	0.94	0.9
19	7	0	0.98	0.94
19	7	1	0.96	0.98
20	1	0	0.94	0.9
20	1	1	0.76	0.76
20	2	0	0.93	0.88
20	2	1	0.86	0.74
20	3	0	0.95	0.96
20	3	1	0.88	0.96
20	4	0	1.03	0.98
20	4	1	0.91	0.84
20	5	0	1.12	1
20	5	1	0.95	0.88
20	6	0	1.08	1.06
20	6	1	1.13	1.07
20	7	0	1.02	1.09
20	7	1	1.03	0.96
21	1	0	0.99	1.02
21	1	1	1.03	0.84
21	2	0	1.05	0.92
21	2	1	0.98	0.77
21	3	0	0.9	1.03
21	3	1	0.89	0.89
21	4	0	1.09	0.91
21	4	1	1	0.98
21	5	0	1	1.04
21	5	1	0.95	1.02
21	6	0	1.08	1.09
21	6	1	0.94	0.95
21	7	0	1.05	0.96
21	7	1	1	0.98
22	1	0	0.99	1.12
22	1	1	0.94	0.93
22	2	0	1.04	1.02
22	2	1	1.04	0.92
22	3	0	1.07	0.97
22	3	1	1.01	0.96
22	4	0	0.96	1.06
22	4	1	1.06	0.97
22	5	0	1	1.03
22	5	1	1.11	1
22	6	0	1.02	0.91
22	6	1	1.08	0.96
22	7	0	0.95	0.95
22	7	1	0.94	0.97
